"Data";"Hora (UTC)";"Vel" Vento (m/s)";"Dir" Vento (m/s)"
"17/01/2025";"0";"0,9";"55"
"17/01/2025";"100";"0,7";"57"
"17/01/2025";"200";"1";"45"
"17/01/2025";"300";"1,4";"260"
"17/01/2025";"400";"1";"317"
"17/01/2025";"500";"0,8";"307"
"17/01/2025";"600";"0";"1"
"17/01/2025";"700";"0,3";"217"
"17/01/2025";"800";"1,3";"192"
"17/01/2025";"900";"0,6";"122"
"17/01/2025";"1000";"1,8";"126"
"17/01/2025";"1100";"0,9";"144"
"17/01/2025";"1200";"0,3";"337"
"17/01/2025";"1300";"0,5";"277"
"17/01/2025";"1400";"1,5";"9"
"17/01/2025";"1500";"2";"36"
"17/01/2025";"1600";"2,9";"40"
"17/01/2025";"1700";"2,8";"25"
"17/01/2025";"1800";"2,4";"11"
"17/01/2025";"1900";"2";"26"
"17/01/2025";"2000";"2,1";"4"
"17/01/2025";"2100";"2,1";"6"
"17/01/2025";"2200";"1,6";"36"
"17/01/2025";"2300";"2,2";"1"
